;;;;;;;;CALIDAD Y RESEÑAS DEL PRODUCTO;;;;
NIT ;Nombre_Proveedor;Tel_Contacto;Email_Proveedor;Direccion_Proveedor;Ciudad_Proveedor;Estado_Proveedor;Pais_Proveedor;Producto;Frecuencia_Entrega;Tiempo_Entrega;Calidad_Producto;Comentarios
900123456-1;Pescados del Norte;301 234 5678;pnorte@gmail.com;Calle Norte 123;Bogotá -;Cundinamarca ;Colombia;Salmón;Semanal;2 dias; 5 estrellas;Proveedor confiable
900234567-2;Mariscos del Sur;302 345 6789;msur@gmail.com;Avenida Sur 234;Medellín ;Antioquia ;Colombia;Gambas;Mensual;5 - días; 4 estrellas;Entrega puntual
900345678-3;Pescaderia Atlantico;303 456 7890;patlantico@gmail.com;Calle Atlantico 456;Cali ; Valle del Cauca ; Colombia;Atún;Semanal;3 - días; 3 estrellas;Producto fresco
900456789-4;Oceanicos SA;304 567 8901;oceanicos@gmail.com;Av. Mar­tima 789;Barranquilla; Atlántico ;Colombia;Camarones;Semanal;4 - días; 4 estrellas;Descuento por volumen
900567890-5;Frescos del Pacifico;305 678 9012;fpacifico@gmail.com;Calle PacÃ­fico 321;Cartagena ; Bolívar ;Colombia;Trucha;Mensual;7 - días; 5 estrellas;Servicio eficiente
900678901-6;Pescaderia del Caribe;310 789 0123;pcaribe@gmail.com;Calle Caribe 654;Bucaramanga ;Santander ;Colombia;Mejillones;Semanal;4 - días; 4 estrellas;Buen servicio
900789012-7;Mariscos del Atlantico;311 890 1234;matlantico@gmail.com;Calle Atlantico 456;Cúcuta ; Norte de Santander ; Colombia;Sardinas;Mensual;6 - días; 3 estrellas;Entrega confiable
900890123-8;Pescados del Este;312 901 2345;peste@gmail.com;Calle Este 789;Pereira ; Risaralda ; Colombia;Ostras;Semanal;3 - días; 5 estrellas;Alta calidad
900901234-9;Marinos del Sur;313 012 3456;marinosur@gmail.com;Av. del Sur 987;Manizales ;Caldas; Colombia;Pargo;Semanal;5 - días; 4 estrellas;Rapidez en la entrega
900012345-0;Pescaderi­a Andina;314 123 4567;pandina@gmail.com;Calle Andes 321;Armenia ;Quindío ; Colombia;Almejas;Mensual;2 - días; 5 estrellas;Excelente relaciÃ³n calidad-precio
901123456-1;Mariscos del Norte;315 234 5678;mnorte@gmail.com;Avenida Norte 123;Santa Marta ; Magdalena; Colombia;Mero;Semanal;4 - días; 4 estrellas;Calidad estable
901234567-2;Pesqueros del Sur;316 345 6789;psur@gmail.com;Av. del Sol 456;Villavicencio ;Meta ; Colombia;Calamares;Semanal;3 - días; 5 estrellas;Entrega eficiente
901345678-3;Marinos del Norte;317 456 7890;mnorte@gmail.com;Calle Norte 789;Ibagué ;Tolima ; Colombia;Dorado;Mensual;5 - días; 4 estrellas;Excelente servicio
901456789-4;Pescados de las Americas;318 567 8901;pamericas@gmail.com;Av. Americas 321;Neiva ;Huila; Colombia;Pulpo;Semanal;2 - días; 5 estrellas;Muy buen producto
901567890-5;Frescos del Mar;319 678 9012;fmar@gmail.com;Avenida del Mar 654;Pasto ;Nariño ; Colombia;Bacalao;Semanal;4 - días; 4 estrellas;Alta frescura
901678901-6;Pescados y Mariscos del Pacifico;320 789 0123;pypacifico@gmail.com;Av. Pacifico 987;Montería ;Córdoba ; Colombia;Vieiras;Mensual;3 - días; 5 estrellas;Excelente servicio
901789012-7;Marinos de la Costa;321 890 1234;mcosta@gmail.com;Calle Costa 654;Sincelejo ;Sucre; Colombia;Róbalo;Semanal;5 - días; 4 estrellas;Sin incidencias
901890123-8;Pescaderi­a del Sol;322 901 2345;psol@gmail.com;Av. Sol 321;Tunja ;Boyacá ; Colombia;Langosta;Semanal;2 - días; 5 estrellas;Muy buena calidad
901901234-9;Mariscos del Caribe;323 012 3456;mcaribe@gmail.com;Avenida del Caribe 789;Popayán ;Cauca; Colombia;Jurel;Mensual;6 - días; 4 estrellas;Entrega confiable
901012345-0;Pescados de la Sierra;324 123 4567;psierra@gmail.com;Calle Sierra 123;Riohacha ;La Guajira ; Colombia;Crustáceos;Semanal;3 - días; 5 estrellas;Excelente servicio
